id,date_short,party,party_2,name,sents
1241,3/1/2000,Labour,labour,Mr. Rammell,"it is undoubtedly true, however, that our overall management of the economy   involving the operational independence of the bank of england, and the release of the minutes of the central committee   is introducing a degree of openness and transparency. that creates confidence, which means that investors and businesses have the confidence to invest and which, over the longer term, will generate the economic growth that we need. that is because, under the present government, with the economic stability that we have been able to create, small businesses can be formed and can plan ahead with confidence."
1242,3/8/2000,Labour,labour,The Secretary of State for Trade and Industry (Mr. Stephen Byers)," that is why, on taking office, we took immediate action to provide independence to the bank of england and to ensure that we did not repeat the cycle of boom and bust about which the hon. lady has kindly reminded the house. gentleman has been a powerful advocate in the house for a particular position on europe."
1243,3/8/2000,Labour,labour,Mr. Byers,"giving the bank of england independence over the setting of the exchange rate in 1997 and getting public finances under control for the first time have laid the foundations for the economic stability that we are seeing.  i know that i will never convince the hon. at their peak, interest rates were 15 per cent., and they were in double figures for four of the conservative party's 18 years in office."
1244,3/8/2000,Liberal Democrat,Others,Mr. Brian Cotter," liberal democrats were pleased when the government gave the bank of england independence as a way forward for the economy, a policy which we had advocated for many years. it is happened because of the measures that the government have taken. granting the bank of england operational independence on the management of monetary policy made a direct contribution towards the success with inflation, as has the principle of using inflation targeting."
1245,3/21/2000,Labour,labour,Mr. Plaskitt,"the sound fiscal stance that the government have taken has also contributed directly to our impressive inflation record. friend the chancellor has ensured that that is all locked in, and he is right to have done so, as it will help us to continue to deliver comparatively low interest rates.  it is worth underlining the benefits that have accrued from granting the bank of england operational independence."
1246,3/21/2000,Labour,labour,Mr. Plaskitt,"since that independence was granted, to control the cycle of the economy, interest rates have had to move in a band of 225 basis points   between a low of 5 per cent. friend think it strange that the opposition now say that they will more than match the amount of money that we will put into health, yet have consistently voted against all the economic measures   the new deal, independence for the bank of england, the end of boom and bust and making work pay   that have enabled us to get 800,000 people back into work and to have the wealth to put the money in now? i agree, in terms of the newest dot.coms."
1247,3/22/2000,Conservative,conservative,Mr. Taylor,"the chancellor must recognise that interest rates will have to converge, and that brings me to the real problem   fortunately, the opposition do not have to face it now   that there will be more active adjustments to the fiscal balance.  the government do not control monetary policy and interest rates   they are set by an independent bank of england and i approve of that. however, the chancellor has to take that into account and give signals to the monetary policy committee that if the economy does not perform as he expects, he will need to make upward as well as downward adjustments in taxation or spending or vary the savings ratio."
1248,3/22/2000,Labour (Co-op),labour,Mr. Geraint Davies," during this parliament, the government have introduced measures to get more people back to work   for example, the new deal, which the opposition voted against. we made the bank of england independent, to provide macro-economic stability and to promote investment and employment, but that, too, was opposed by the opposition; and we have introduced the working families tax credit to make work pay. every measure that we have introduced to provide the economic platform needed to fund good investment in health and education for the future has been opposed by the party of boom and bust, economic irresponsibility and social division."
1249,3/27/2000,Labour,labour,The Secretary of State for Social Security (Mr. Alistair Darling)," we have strong public finances because we took tough decisions during the first two years of this parliament. we cut the huge debts that we inherited and we gave the bank of england independence, something that was opposed by the conservatives at the time. our public finances are strong."
1250,3/27/2000,Conservative,conservative,Peter Tapsell,"portillo), the shadow chancellor, who with his first-class honours degree in modern history, albeit from cambridge, will understand them. apropos the volte face on our attitude to an independent central bank and the monetary policy committee, i do not have time to develop my theme as i would like. however, i remind my right hon."
1251,3/27/2000,Conservative,conservative,Peter Tapsell,"friend that when pope pius ix, having lost his temporal constituency, hit back by announcing the dogma of papal infallibility in 1870, the great roman catholic historian, lord acton, said:
 i have no intention of changing my religion because the pope has changed his.  that is exactly my attitude on an independent central bank. i am pleased to speak in support of the finance bill and against the amendments tabled by the liberal democrats and by the conservative party."
1252,4/17/2000,Labour,labour,Mr. Roger Casale.," step by step, the government are constructing a platform of economic stability. the platform is an effective metaphor: it has sound and solid foundations, which are based on the independence of the bank of england and the new fiscal rules. the bill will rightly lock the new stability into place."
1253,4/17/2000,Labour (Co-op),labour,Mr. Geraint Davies,"clarke) were ridiculous? he said that there would be no independence for the bank of england, interest rates would be lowered unilaterally and inflation would rip. perhaps he should be known as the chancellor ripper."
1254,4/17/2000,Conservative,conservative,Mr. Tyrie,"the chancellor has taken risks, partly for electoral purposes. he is fuelling the beginnings of a political cycle with his fiscal policy, and in that sense he is undermining the good work that he did when he tried to dissociate politics from the business cycle by making the bank of england independent. i shall be brief."
1255,5/16/2000,Labour,labour,The Secretary of State for Trade and Industry (Mr. Stephen Byers),"i beg to move, to leave out from ""house"" to the end of the question, and to add instead thereof: 
 recognises that industry does not want a return of the boom and bust policies of the previous government, with interest rates of 15 per cent, inflation above 10 per cent and soaring budget deficits; welcomes the government's decisive action in taking politics out of interest rate decisions; notes that employment is currently 880,000 higher than it was when the government came into office, and that long-term interest rates over the past year have been at their lowest for 35 years; welcomes the measures that the government has taken to encourage enterprise, investment and innovation which particularly help manufacturing businesses; welcomes the government's view that where firms are in difficulty the government has a role in helping people through change as opposed to the previous government's laissez-faire approach; and condemns the opposition for its record in government, when manufacturing employment declined by 2Â¾ million$1"" the government fully recognise the challenges that manufacturing faces in a global economy. one of the ways in which we can assist manufacturing to meet those challenges is to provide the economic stability that we now have in the united kingdom, not because of some legacy from the conservative government, but because of the steps that we took on coming to office in the first few days after 1 may 1997, giving the bank of england independence over interest rates to ensure that we did not play politics with interest rates, which certain right hon. members opposite may well have done during their time as chancellor of the exchequer."
1256,5/17/2000,Labour,labour,The Minister for Small Business and E-Commerce (Ms Patricia Hewitt),"that holds us back.  our first task was to secure economic stability and our first decision was to take the politics out of interest rates by giving the bank of england independence to set them. as a result, we have not only got inflation down and kept it down, but we have the lowest long-term   and, indeed, short-term   interest rates that we have had for a long time, with no prospect in this or, i think, the next economic cycle of returning to the appalling situation that we had under the previous government, when interest rates were above 10 per cent."
1257,5/17/2000,Labour,labour,The Minister for Small Business and E-Commerce (Ms Patricia Hewitt),"gentleman expressed his view and that of a large part of the conservative party about the euro, but one reason for our commitment in principle to joining a successful single currency if the economic conditions are met is that it would eliminate the exchange rate instability that has been so damaging and that has created such difficult conditions for manufacturing industry and other exporters. we are the party that introduced independence for the bank of england. we introduced the national minimum wage, the new deal and the working families tax credit."
1258,5/18/2000,Labour,labour,Mr. Smith,"it is right that business has the confidence and the certainty to plan for the future, and it can do that with the platform of stability that we have created. we took the tough decisions on making the bank of england independent and on imposing a fiscal and monetary framework that provides stability. we have avoided the penal levels of interest rates from which manufacturing industry suffered under the conservatives and that saw manufacturing output down by 18 per cent."
1259,6/7/2000,Liberal Democrat,Others,Mr. Kennedy,"although we join him in rightly criticising the boom-and-bust days that preceded this government, it is worth placing on the record the fact that, although he and his ministerial colleagues are occasionally   indeed, regularly   somewhat dismissive of our approach to economics, the central plank of the government's economic strategy, which has created the opportunities to do so many things, was in our manifesto but not in labour's. i am referring to operational independence for the bank of england. if one thought that it was simply a question of economic management, there would be little justification for a referendum."
1260,6/15/2000,Liberal Democrat,Others,Mr. Campbell,"if one goes back to the period immediately after the last general election, the independence of the bank of england became a matter of economic management   with profound consequences, it must be said   but i do not remember any great pressure at that stage from those who form the official opposition for a referendum on that topic. the fact that it is now agreed   i think on both sides of the house   that there should be a referendum is an acknowledgement that entry into the currency has constitutional implications. real take-home pay is up by about 8 per cent., and when spending on areas that we want to spend money on, such as children and pensions, is taken out, welfare spending is falling for the first time in decades."
1261,7/13/2000,Labour,labour,The Prime Minister (Mr. Tony Blair),"but none of that has come without serious, grown-up choices   bank of england independence, taking the politics out of people's mortgages, and tough action to clear the deficit. i know that some of those decisions, such as the rises in fuel duty, were unpopular, but they were necessary. under the amendment,
 the treasury shall consult a group of persons who appear to the treasury to be appropriate to advise on financial reporting principles and standards."
1262,7/24/2000,Conservative,conservative,Mr. Letwin," i hope that the economic secretary will tell us that she will so arrange matters that those who ""appear ¦to be appropriate"" are renowned for their independence as well as their skill, and that she will seek, over time, to adjust the composition of the frab so that its independence is enhanced, in the same admirable way as, we hope, the monetary policy committee of the bank of england will become increasingly and evidently independent.  that is obviously important and coheres with the aspirations that the economic secretary has just enunciated. member for kensington and chelsea (mr."
1263,10/25/2000,Labour,labour,The Financial Secretary to the Treasury (Mr. Stephen Timms),"portillo), the shadow chancellor, yesterday told a house of lords select committee that he would scrap the independence of the bank of england in setting interest rates if he thought that it was being incompetent. frankly, when one compares what happened when the shadow chancellor was chief secretary to the treasury with the record over the past three and a half years of the monetary policy committee that this government established, there is little doubt about whose judgment most people would trust.  let me deal first with the forecasts for the economy."
1264,11/8/2000,Labour,labour,The Chancellor of the Exchequer (Mr. Gordon Brown),"since 1997, our first and most fundamental choice has been   through bank of england independence, tough controls on public spending and difficult decisions on tax   to build economic stability. there were those in the house who predicted that our policies would bring recession.  the shadow chancellor told us that he would have tax cuts instead of investment, but the neglect of investment produced the problems in our supply side that meant that we could not sustain a consumer boom because there had been no investment during the 1980s."
1265,11/8/2000,Labour,labour,Mr. Brown,"he has no inflation target   not even our symmetrical inflation target   and he even doubts whether he would keep the bank of england independent if, as he put it, he could judge it to be incompetent. most people have that view of him and his economic policies. there was also a neglect of investment in the supply side, so that, as the economy grew, we could not sustain the growth that we wanted."
1266,11/8/2000,Labour,labour,Mr. Brown," equally, the former chancellor, as a supporter of independence of the bank of england, knows that the lack of a tough and tight monetary policy that is absolutely explicit about where we are trying to go is another recipe for a return to the situation that we had in the 1980s.  i believe that, on those three matters, the former chancellor and i would share common ground   if it were not for the fact that he also thinks he is preparing for a general election. gentleman supported the independence of the bank of england long before opposition front-bench spokesmen even considered doing so."
1267,11/8/2000,Labour,labour,Mr. Brown,"i hope that he, like the former chancellor, the right hon. gentleman supports the independence of the bank of england: he should also support the government's fiscal rules. i totally understand why the hon."
1268,12/6/2000,Labour,labour,The Prime Minister," none of those steps has been easy. none of them happened without difficult decisions being made, including those on bank of england independence, measures to cut the deficit, performance-related pay for teachers, changing the basis of gps' contracts, incapacity and welfare reform, the private finance initiative, devolution, house of lords reform, the minimum wage, banning handguns, a more constructive relationship with europe   which was fought every inch of the way   the new deal and the working families tax credit. but the one thing of which we can be absolutely sure is that, whatever difficult decisions were needed to make that progress, each and every one was opposed by the conservative party."
1269,12/6/2000,Labour,labour,The Prime Minister,"what was he predicting then? he talked about a recession made in downing street, dangerous arrogance in giving the bank of england independence and hundreds of thousands about to lose their jobs. instead, his bandwagon lost its first wheel."
1270,12/6/2000,Conservative,conservative,Mr. Peter Luff," i have news for the government: they cannot do any such thing. they have done one thing right, for which i give them credit, and that was to give the bank of england independence. i think that it was an imperfect and incomplete independence, but it was the right thing to do."
1271,12/7/2000,Labour,labour,Mr. Milburn,"i note that, to date, they have failed to do so.  these are measures, then, to build on the foundations that we have laid for a stronger economy and a fairer society: bank of england independence, the new deal, a statutory national minimum wage, the working families tax credit, record increases in child benefit, extra help for pensioners, and investment in our key public services. these are the foundations that we have laid   each and every one of them opposed by the conservative party."
1272,12/13/2000,Conservative,conservative,Mr. Portillo,"the opposition have a vision, founded on a disciplined approach to macro-economic management. we will be ruled by five disciplines: first, we will have our own currency; secondly, we will increase the independence of the bank of england; thirdly, we will set up a fiscal policy watchdog; fourthly, we will establish a national accounts commission; and fifthly, the government will spend only what the nation can afford. no, i shall keep going at this point."
1273,12/13/2000,Conservative,conservative,Mr. Portillo,that is a glaring gap at the centre of his policies.  we shall make the bank of england more independent. the chancellor wants to take away its powers.
1274,12/13/2000,Conservative,conservative,Mr. Portillo,"his policy is to let the european central bank set interest rates. at the next election, there will be only one party fighting for britain's interest rates to be set by an independent bank of england, and that will be the conservative party. i am not sure that that is an entirely new idea."
1275,12/13/2000,Labour,labour,Mr. Brown,"member for huntingdon (mr. major) is here, and he would agree that the introduction of the wise men before the bank of england became independent was an innovation that happened under his government as they tried to meet the inflation target and sought independent advice. far from the idea being a great innovation in economic policy, it is simply a repetition of what has been done."
1276,12/13/2000,Labour,labour,Mr. Brown,"the tory government refused to invest in the supply side of the economy   education and infrastructure   which is essential to sustain growth. they did not have monetary discipline and they are now reluctant and unclear converts to the independence of the bank of england. on the basis of one year's surplus they promised tax cuts for every year, which they knew they could not afford."
1277,12/13/2000,Labour,labour,Mr. Taylor,"first, the government have followed the same fiscal rules that we proposed   and i do not knock them for that. secondly, we   unlike the labour party   proposed independence for the bank of england. we can claim some credit for that proposal."
1278,12/13/2000,Labour,labour,Mr. Taylor,"our approach would have led to precisely the same balanced position that the government have achieved, because we would have balanced spending and taxes. it is the combined impact of all the government's policies   high tax, high interest rates and the semi-independent bank of england. had they had a different attitude towards tax and spend in the first couple of years, i suspect that the bank of england would have set different interest rates and we might have had a more acceptable exchange rate."
1279,12/13/2000,Labour,labour,Mr. Andrew Miller,"instead, i want to look at the reality in my constituency. the principal actions of the government have created economic stability by giving the bank of england independence and implementing tough fiscal rules. in some respects, the first two years of this administration were painful in my constituency, but we are now beginning to see real benefits as a result of falling unemployment and massive reductions in mortgage rates, and those benefits will be sustained."
1280,12/13/2000,Conservative,conservative,Mr. Dorrell,"in fact, i shall offer a degree of bipartisanship on that question. the government are entitled to credit for having increased the independence of the bank of england, and for entrenching the discipline of counter-inflationary policy.  i can see that the hon."
1281,12/13/2000,Conservative,conservative,Mr. Dorrell,"there is broad, all-party agreement that the five-decade experiment with political money was an abject failure.  in case it is thought that i am offering unqualified support for every aspect of this part of government policy, i must say that the independence of the monetary policy committee of the bank of england would be significantly enhanced if almost all its members did not require the chancellor's say-so before their appointment was agreed.  in addition, i think that the monetary policy committee's independence, and the basis of knowledge on which it makes its decisions, would be substantially enhanced if we introduced into our structure something more closely akin to the american federal reserve or the old german bundesbank."
1282,12/13/2000,Labour,labour,Mr. Roger Casale,"that strong and stable economy, which acts as a platform for our investment in public services' has not come about by chance, it is the result of the economic policies put in place by the chancellor of the exchequer.  the independence of the bank of england, new fiscal rules, prudence in public finances and borrowing only to invest are the golden rules. some of those issues are complex and technical, but everyone in wimbledon will understand the difference in the results."
1283,12/14/2000,Labour,labour,Mr. Brown,"members: ""oh, no!""]
 i know that the right hon. gentleman agrees with me about the independence of the bank of england. i hope that he also agrees with me about the importance of monetary and fiscal stability."
1284,12/14/2000,Labour,labour,Mr. Brown," it is to tackle precisely that problem that we have introduced changes. we have opened up competition policy by making the competition commission independent, in the same way as the bank of england is independent in making decisions.  the government are also moving forward in terms of labour market reform, capital market reform and product market reform."
1285,12/14/2000,Labour,labour,Mr. Brown," instead of attacking our policies, the shadow chancellor should start to consider whether he has a policy. yesterday's debate revealed to us that the conservatives have no fiscal rules; they will not invest in the supply side, which is the infrastructure of the economy; and their monetary disciplines are suspect because they would sack bank of england independence under certain circumstances, which they define as incompetence. at the same time they are promising tax cuts based on a surplus one year that they cannot guarantee for every year."
1286,12/14/2000,Conservative,conservative,Mr. Richard Ottaway,"but can the chief secretary confirm that his plan to scrap the pound means scrapping the monetary policy committee? can he confirm that, at the next election, there will be just one party campaigning for interest rates to be set by an independent bank of england   the conservative party? since we came into government, our first duty has been to secure economic stability."
1287,3/7/2001,Labour,labour,The Chancellor of the Exchequer (Mr. Gordon Brown),"in 1997, with inflation rising, a Â£28 billion deficit and a national debt that had doubled, the british economy was once again at risk of repeating the old all too familiar pattern of inflation followed by recession.  there were many who opposed our decision to make the bank of england independent, others who opposed the tough controls on borrowing and spending, and many also who opposed our new fiscal rules and disciplines. there were some in this house who predicted that our policies would bring recession."
1288,3/7/2001,Labour,labour,Mr. Kidney,"799, c. 1231 “36.]
 a clear difference today is the welcome decision in 1997 to give independence to the bank of england to set interest rates without reference to the political cycle and the difficulties of the day.  what had happened to income tax rates by 1970?"
1289,3/8/2001,Labour,labour,The Secretary of State for Trade and Industry (Mr. Stephen Byers),"almost four years ago, we reformed the whole basis of economic policy making. we took tough decisions early to make the bank of england independent, to establish a proper fiscal framework, and to repay the national debt. consequently, inflation is now at a 30-year low, and is the lowest in europe."
1290,3/12/2001,Labour (Co-op),labour,Mr. Geraint Davies," it is not by choice or by legacy that we are enjoying the current economic environment, but by decision and difficult choice. the bank of england's independence was one of the chancellor's first master strokes. it immediately took the risk premium out of interest rates."
1291,3/12/2001,Labour (Co-op),labour,Mr. Geraint Davies,"to 2 per cent. we should remember that the conservatives did not want a monetary policy committee; they did not want independence for the bank of england. now they have come round to the idea   in fact, they have gone a step further."
1292,3/12/2001,Labour,labour,The Financial Secretary to the Treasury (Mr. Stephen Timms),"lewis) reminded the house. the new macro-economic policy framework, with interest rates decided independently by the monetary policy committee of the bank of england and the rules of fiscal prudence, was needed to establish a new stability in the economy after decades of instability, compared with the record of our competitors. having achieved that, we see it as a precious prize indeed."
1293,3/13/2001,Labour,labour,The Secretary of State for Health (Mr. Alan Milburn),"it has happened because of the choices that the government have made. new fiscal rules, independence for the bank of england, and new programmes to create jobs and to make work pay have all helped to secure prosperity and progress for our country.  each and every step of the way, those choices have been opposed by the conservative party."
1294,3/13/2001,Labour,labour,The Secretary of State for Health (Mr. Alan Milburn),"today, britain has the lowest inflation that it has had for 30 years. the leader of the opposition said that independence for the bank of england was dangerous arrogance. today, britain has the lowest long-term interest rates for 35 years."
1295,3/13/2001,Labour,labour,The Secretary of State for Health (Mr. Alan Milburn),"rather than a million jobs being lost, a million have been created. today's conservatives, therefore, have been wrong on economic performance, wrong on the bank of england's independence, wrong on ending poverty pay, and wrong on every prediction and forecast. not even michael fish gets it that wrong."
1296,3/13/2001,Conservative,conservative,Mr. Portillo,"we shall have our own currency, and interest rates will be set in britain. we shall enhance the independence of the bank of england and appoint an independent committee of economic advisers. we shall ensure that there are proper national accounts to end the chancellor's fiddled figures and we shall increase government spending within the limits of what the nation can afford."
1297,3/13/2001,Labour,labour,Mr. Radice," however, it is the present chancellor who has had the boldness to carry through the revolution in monetary and fiscal policy needed to achieve stability. he gave operational independence in monetary policy to the bank of england, and set up the monetary policy committee. it may be true that he has been lucky, but he has also made his own luck."
1298,3/13/2001,Labour,labour,Mr. Radice,it was his decision to give the bank of england independence and to stick by his predecessor's spending plans for the first two years. it was also his decision to keep to the fiscal rules that he had devised. one reason has been the mistakes made by the bank of england.
1299,3/13/2001,Conservative,conservative,Mr. Kenneth Clarke," i applaud the giving of independence to the bank of england, but i feel free to criticise the performance of the monetary policy committee. i have been on the doveish side of that divided committee throughout, and i believe that the doveish side was right. who borrowed an extra Â£28 billion before we came into office?"
1300,3/13/2001,Labour,labour,The Chief Secretary to the Treasury (Mr. Andrew Smith),"in contrast, who, within days of coming into office, made the bank of england operationally independent? who put the fiscal rules in place? i found it revealing when the right hon."
1301,3/13/2001,Labour,labour,Mr. Smith,"and learned gentleman said in his speech that he saw merit in the way in which we acted to make the bank of england operationally independent. the question that he must answer is why he did not do that when he had the chance, if that is what he believed. we look forward to the monetary policy committee reducing interest rates."
1302,4/9/2001,Liberal Democrat,Others,Mr. Davey,"i support an independent central bank, and believe that its independence should be guarded jealously, but it is right for us, as constituency members, to send signals that we believe that the economic situation on the ground is deteriorating significantly enough to warrant interest rate changes.  monetary policy needs to be directed towards helping agriculture, manufacturing and tourism, which were already suffering before foot and mouth and the us slow-down. we hear too much cant from both sides of the house about that."
1303,4/9/2001,Conservative,conservative,Mr. Ian Taylor,"everyone now accepts that we have given independence to the bank of england, and we shall possibly give it in the end to the european central bank, too. we must understand that fiscal policy needs to be a good deal more energetic than it has been in the past. as he said, we are on course to deliver stability and sustain growth."
1304,4/24/2001,Labour,labour,Miss Johnson,"one reason for that is our tough and decisive action in introducing tough fiscal rules, reducing the national debt and making the bank of england independent, which has succeeded in delivering the lowest rate of inflation for 30 years. in the last year.  no country can ever insulate itself from world economic events, but it is because of the decisive action that we have taken   introducing tough fiscal rules, reducing the national debt, making the bank of england independent and delivering the lowest inflation for 30 years   that british economic policy is much better placed than it has ever been in the past."
1305,4/25/2001,Labour,labour,The Secretary of State for Trade and Industry (Mr. Stephen Byers)," we are on course to continue to deliver stability and sustained growth, but it is an extremely difficult time for individuals and communities when jobs are lost as industries restructure in the face of change. the mass unemployment of the 1980s over which the then conservative government presided caused the greatest damage to the fight against child poverty. if the government have achieved only one thing by adopting the liberal democrats' policy of an independent central bank, thus ensuring stable economic growth, it has been to reduce unemployment by 1 million."
1306,5/9/2001,Liberal Democrat,Others,Mr. Edward Davey,"that has constituted the government's most effective attack on child poverty. today, we again signal ours: the economy, health, education and crime. i say to the leader of the opposition that of course we must look at ways of making parliament more effective, but the biggest thing that will repay people's faith in politics is our carrying out the programme on which we were elected.in our first term, we altered the entire system of economic management with bank of england independence and new fiscal rules, which have given britain today the lowest inflation in europe, 1 million more jobs in the economy and interest rates half what they were in 18 years of conservative government."
1307,6/20/2001,Labour,labour,Tony Blair,"i believe that today the labour government are the government of economic competence for our country. it is to deliver this decade what has eluded us for too long: faster productivity rises than our main industrial competitors. at any point in the past 20 years, it was open to a government to make not only the bank of england independent, but our competition authorities independent and free of political influence, to use the criminal law to outlaw cartels, to reform insolvency laws and remove crown preference, thus reducing the cost of business failure, to introduce an enterprise management incentive scheme for growing high-growth firms and to cut capital gains tax, as we have done, from 40 per cent."
1308,6/25/2001,Labour,labour,Gordon Brown,"to 10 per cent. that is the precise reverse of the position in the parliament up to 1997.inflation has remained low and stable, as it was when the government came to office, although the latest figures show that it has risen significantly. the chancellor was right to make the bank of england independent."
1309,6/25/2001,Conservative,conservative,Michael Portillo," [hon. i welcome his success with the european union and the commission in gaining agreement on the venture capital funds for regional development that he will make available. that is the final piece of the jigsaw for regional development agencies, which will not only have funds of their own, but be able to afford access to additional moneys for businesses that need support and assistance.it has already been said that perhaps the most telling aspect of the government's approach was shown by one of their first actions in the early days of the previous parliament when they established the independence of the bank of england."
1310,6/25/2001,Labour,labour,Martin O'Neill,"the shadow chancellor made an interesting point about lengthening individuals' service on the monetary policy committee, but only for one term. i am delighted also that the right hon. member for kensington and chelsea added a fresh conversion to the list: we have seen him turn from opposition to independence for the bank of england to full support for it."
1311,6/25/2001,Labour,labour,Patricia Hewitt,"we have also seen him turn from voting against the minimum wage to supporting it, if reluctantly.this evening, the right hon. largely, however, it is due to the overall economic success that we are now enjoying. that is the result of the prudent economic management of the economy, and not least the independence of the bank of england, which has guaranteed low interest rates and low inflation rates."
1312,7/13/2001,Labour (Co-op),labour,Geraint Davies,"proper cost control by my right hon. we must examine the entire picture rather than take an opportunistic approach, as the opposition do, and try to pick off little bits and misrepresent the impact of red tape. when the chancellor said that our recent interest rate cut was co-ordinated with other countries, did he mean the treasury requested the bank of england to take that action or that the bank of england decided independently to go beyond its normal remit and timing for those changes?"
1313,10/15/2001,Conservative,conservative,John Redwood,"i am not against the change; i would just like to know the process by which it took place. the individual authorities   the bank of england, the federal reserve bank and the european central bank   make their own decisions about interest rates. i know that many opposition members resisted our decision to make the bank of england independent, but it is independent and makes its own decisions.i was referring to what i thought and feel able comment on; everybody here should be able to do that."
1314,10/15/2001,Labour,labour,Gordon Brown,"following the decisive action by the relevant authorities, there was a boost to the world economy at a most difficult time. lady might also like to note that the rail regulator told the select committee that what the secretary of state had done put under threat virgin projects for the purchase of tilting trains for the west coast main line   a line which i know is of particular interest to the hon. lady   and for its new country networks, and had put under threat the independence of the bank of england as well."
1315,11/13/2001,Conservative,conservative,Theresa May,perhaps the hon. we also need stability in the economy. most rational politicians think that an independent bank of england and inflation target are useful contributors to a stable economy.we need stability of pension rules.
1316,11/13/2001,Labour,labour,David Kidney,"it is vital when we try to persuade people to take out pensions that they are confident that as much as possible of their investment will accrue to their pension fund throughout their working life, and that they will not be robbed of great chunks of their investment every time they change from one scheme or one job to another.the public policy tools that politicians have are the basic state pension, the pension credit, regulation and partnership with the private sector. that certainly occurred under the conservative government, and i suspect one or two people may be wondering how tom winsor managed to get appointed by the present administration.there have also been some increases in arm's length administration. i am not sure whether the government would define the increased independence of the bank of england's monetary policy committee as the creation of a quango, but it has been universally regarded as a success and is supported by my party."
1317,11/16/2001,Conservative,conservative,Tim Collins,"that shows that there has been a shift in the way in which we are governed, and we support that. indeed, in every major global slowdown since 1945, britain has entered weaker, suffered longer, experienced higher inflation and endured higher unemployment. so it is at a time like this that our new monetary and fiscal regime   bank of england independence, the symmetrical inflation target, our new fiscal rules and the tough decisions we have taken to reduce debt   is being tested.when the world turned down in 1998, decisive action by the newly independent bank of england ensured that the british economy sustained its growth."
1318,11/27/2001,Labour,labour,Gordon Brown,"throughout 2001 britain has continued to grow, and monetary policy has played its full part. we have 1 million more jobs as a result of what we have done. he opposed bank of england independence and he was wrong."
1319,11/27/2001,Labour,labour,Gordon Brown,"he has said in the past few weeks that we are the worst economy of any when it comes to facing up to the future, and we have the highest growth in the oecd this year   so he is wrong again. the most important thing that we can do for manufacturing is to provide a stable economic climate. by making the bank of england independent and putting in place tough new fiscal rules, we have taken the necessary measures to ensure that."
1320,12/6/2001,Labour,labour,Ruth Kelly,"artificially to manipulate the exchange rate of the pound as the hon. that may not matter with a small regulator, but if one bonds together all the different regulators and the body's political independence is compromised, the consequences will be serious. that is why the bill should contain an independent mechanism for the appointment of the chairman and the board members.i commend to ministers the experience of the bank of england."
1321,1/14/2002,Liberal Democrat,Others,Vincent Cable,"i sat on the select committee on the treasury when the monetary policy committee was being set up. i endorse his argument that ofcom must be independent. the competition act 1980, the enterprise bill and the independence given to the bank of england are proof that we have been moving in that direction over the past five years, and i see no sign that that will not continue."
1322,2/28/2002,Labour,labour,Gordon Brown,"increasingly, it is making itself more accountable to both the governments and the people of europe. it must, of course, remain an independent central bank. those of us who supported the making independent of the bank of england recognise the importance of the european central bank being independent of the decision-making processes of politicians."
1323,3/14/2002,Labour,labour,Gordon Brown,"with permission, mr. would disappear in a reasonable period of time.""that is exactly why the competition commission has proposed the transitional remedies on which the shadow chancellor   because he has not faced up to these questions   is silent this morning.the report says that""lack of competition has permitted and would continue to permit overcharging of smes for these services.""the competition commission does not believe that, even given additional new entrants into the market, behavioural remedies   entry and more competition   will of themselves have sufficient effect on services to small businesses over the next two or three years. that is why the director general of fair trading has recommended the transitional remedies.i hope that, just as after a time consensus was reached on the independence of the bank of england and acceptance of its interest rate decisions, consensus can now be reached on the independent competition authorities."
1324,3/14/2002,Labour,labour,Gordon Brown,"i hope that after some reflection the conservative party will agree not only that competition is right in general, but that the specific remedies that have been recommended are necessary if we are to do our best by the 3.5 million small businesses in this country. she will not be able to do anything. there is a radical change in that policy area, and checks and balances must be built in.when the bank of england was made independent of day-to-day political interference, checks and balances were provided, in the form of parliamentary accountability through the select committee on the treasury."
1325,4/10/2002,Liberal Democrat,Others,Vincent Cable,"i was part of that process, and it worked admirably. we have a tendency not to learn from other countries, and to think that because we started it we know best. however, central bank independence and the way we have run the economy show that we have learned lessons and benefited from them."
1326,4/12/2002,Labour,labour,Brian White,"the government are to be commended for learning those lessons and applying them here.because there is an assumption that independent regulators are a good thing, the automatic answer is to have a regulator, but that assumption is not necessarily correct and i ask the minister to accept that there is a need to challenge it.there is a need for regulators to provide proper information, but the problem is that some of the information provided by the companies is commercial in confidence. friend the chancellor said in 1997 that that approach would have to be changed. his brave act, against all the odds, was to give the bank of england independence."
1327,4/17/2002,Labour,labour,John McFall,"monetary issues have been taken away from politicians and placed with economists. as chairman of the treasury select committee, i know that sir eddie george and his colleagues on the monetary policy committee are accountable to the chancellor and parliament through our committee. that is much healthier than having monthly meetings between a chancellor and a governor of the bank of england.there is independence for the bank of england, and a symmetrical inflation target has been set, which has been a guiding principle in the economy."
1328,4/17/2002,Labour,labour,John McFall,"the mpc has met that target consistently since 1997.i was in brussels yesterday for a meeting of the european parliament's chairpersons' budget committee. we need to think through the structures more carefully. incidentally, i welcomed some years ago the granting of independence to the bank of england."
1329,4/17/2002,Conservative,conservative,Andrew Tyrie,"indeed, i would have liked the chancellor to go further in those reforms.so, there are some things that the chancellor has done with which i agree, but i do not think this is a good budget, although it could become a crucial budget in the political landscape of britain. economic stability is crucial to business confidence, critical to secure investment and important to secure enterprise.the fundamentals for economic stability are clearly in place. we put a key one in place when we came into office by giving the bank of england its operational independence."
